customer_id,name,city
C001,Customer 001,Hyderabad
C002,Customer 002,Kolkata
C003,Customer 003,Delhi
C004,Customer 004,Mumbai
C005,Customer 005,Mumbai
C006,Customer 006,Ahmedabad
C007,Customer 007,Hyderabad
C008,Customer 008,Delhi
C009,Customer 009,Bengaluru
C010,Customer 010,Hyderabad
C011,Customer 011,Pune
C012,Customer 012,Jaipur
C013,Customer 013,Kolkata
C014,Customer 014,Kolkata
C015,Customer 015,Kolkata
C016,Customer 016,Kolkata
C017,Customer 017,Pune
C018,Customer 018,Warangal
C019,Customer 019,Ahmedabad
C020,Customer 020,Mumbai
C021,Customer 021,Pune
C022,Customer 022,Chennai
C023,Customer 023,Warangal
C024,Customer 024,Jaipur
C025,Customer 025,Kolkata
C026,Customer 026,Delhi
C027,Customer 027,Mumbai
C028,Customer 028,Ahmedabad
C029,Customer 029,Pune
C030,Customer 030,Mumbai
C031,Customer 031,Mumbai
C032,Customer 032,Bengaluru
C033,Customer 033,Hyderabad
C034,Customer 034,Pune
C035,Customer 035,Ahmedabad
C036,Customer 036,Hyderabad
C037,Customer 037,Ahmedabad
C038,Customer 038,Ahmedabad
C039,Customer 039,Bengaluru
C040,Customer 040,Delhi
C041,Customer 041,Warangal
C042,Customer 042,Kolkata
C043,Customer 043,Kolkata
C044,Customer 044,Chennai
C045,Customer 045,Hyderabad
C046,Customer 046,Jaipur
C047,Customer 047,Mumbai
C048,Customer 048,Ahmedabad
C049,Customer 049,Delhi
C050,Customer 050,Kolkata
C051,Customer 051,Kolkata
C052,Customer 052,Warangal
C053,Customer 053,Chennai
C054,Customer 054,Mumbai
C055,Customer 055,Mumbai
C056,Customer 056,Hyderabad
C057,Customer 057,Pune
C058,Customer 058,Warangal
C059,Customer 059,Kolkata
C060,Customer 060,Delhi
C061,Customer 061,Jaipur
C062,Customer 062,Kolkata
C063,Customer 063,Chennai
C064,Customer 064,Jaipur
C065,Customer 065,Mumbai
C066,Customer 066,Chennai
C067,Customer 067,Jaipur
C068,Customer 068,Chennai
C069,Customer 069,Hyderabad
C070,Customer 070,Mumbai
C071,Customer 071,Kolkata
C072,Customer 072,Warangal
C073,Customer 073,Mumbai
C074,Customer 074,Warangal
C075,Customer 075,Delhi
C076,Customer 076,Mumbai
C077,Customer 077,Chennai
C078,Customer 078,Bengaluru
C079,Customer 079,Pune
C080,Customer 080,Delhi
C081,Customer 081,Jaipur
C082,Customer 082,Mumbai
C083,Customer 083,Warangal
C084,Customer 084,Ahmedabad
C085,Customer 085,Delhi
C086,Customer 086,Kolkata
C087,Customer 087,Hyderabad
C088,Customer 088,Chennai
C089,Customer 089,Kolkata
C090,Customer 090,Ahmedabad
C091,Customer 091,Mumbai
C092,Customer 092,Ahmedabad
C093,Customer 093,Ahmedabad
C094,Customer 094,Chennai
C095,Customer 095,Ahmedabad
C096,Customer 096,Bengaluru
C097,Customer 097,Bengaluru
C098,Customer 098,Delhi
C099,Customer 099,Delhi
C100,Customer 100,Warangal
