order_id,product,quantity,price
O0001,Headphones,3,40032.55
O0001,Smart Watch,3,15858.64
O0001,SSD,3,24807.25
O0001,Mechanical Keyboard,4,5968.66
O0002,Mechanical Keyboard,4,2966.28
O0003,Smart Watch,2,37185.09
O0003,Webcam,4,41392.24
O0003,Wireless Mouse,1,42855.09
O0003,Laptop Stand,2,7848.92
O0004,Laptop Stand,1,18371.98
O0004,Phone Case,3,49773.13
O0005,Monitor,3,19513.52
O0005,Webcam,4,733.24
O0005,USB Hub,3,10610.07
O0005,Bluetooth Speaker,4,8353.81
O0006,Phone Case,4,27886.28
O0006,USB-C Cable,1,49517.02
O0006,Power Bank,4,7250.48
O0007,Desk Lamp,4,21801.2
O0007,Backpack,4,23571.48
O0007,Webcam,4,9209.15
O0008,Laptop Stand,4,2422.52
O0009,USB-C Cable,4,24764.84
O0009,Bluetooth Speaker,3,4387.94
O0009,Laptop Stand,2,42209.7
O0010,SSD,3,32526.62
O0011,Phone Case,3,18456.1
O0011,Desk Lamp,1,27067.47
O0012,Bluetooth Speaker,3,25337.62
O0012,Desk Lamp,4,45494.7
O0012,Backpack,2,42542.66
O0012,SSD,3,17160.42
O0013,Smart Watch,1,45882.42
O0013,Power Bank,2,31614.45
O0013,Desk Lamp,2,17074.01
O0014,Bluetooth Speaker,1,1435.19
O0015,Power Bank,1,563.26
O0015,SSD,3,14044.5
O0015,Phone Case,1,31760.73
O0016,Phone Case,2,38118.34
O0016,SSD,3,36089.66
O0016,USB Hub,4,48166.92
O0017,Power Bank,3,22115.42
O0017,USB Hub,3,27743.57
O0017,Monitor,4,48495.79
O0018,USB-C Cable,3,37548.18
O0018,USB Hub,3,6367.71
O0018,Mechanical Keyboard,2,2238.16
O0019,Monitor,4,48899.27
O0019,USB Hub,2,20695.48
O0019,Smart Watch,1,4423.0
O0020,SSD,4,2040.14
O0020,USB-C Cable,1,2624.18
O0020,USB Hub,2,5641.26
O0020,Smart Watch,4,35719.26
O0021,Headphones,3,40082.41
O0021,Monitor,2,11878.85
O0021,Wireless Mouse,1,31169.51
O0022,SSD,2,25827.54
O0023,Laptop Stand,3,1673.44
O0024,Phone Case,2,17530.96
O0024,Backpack,4,42695.56
O0024,Bluetooth Speaker,4,29596.95
O0024,SSD,2,19966.62
O0025,Bluetooth Speaker,3,9541.17
O0026,Webcam,4,49936.42
O0026,Headphones,3,20514.51
O0026,Phone Case,2,7012.7
O0026,Mechanical Keyboard,1,49878.49
O0027,Backpack,2,45780.88
O0027,Desk Lamp,1,6890.47
O0027,Phone Case,2,18394.85
O0028,Mechanical Keyboard,2,1078.91
O0029,Bluetooth Speaker,2,31799.11
O0030,Bluetooth Speaker,3,14369.14
O0030,Webcam,3,44869.44
O0030,USB Hub,2,16401.07
O0030,Backpack,1,45470.43
O0031,Smart Watch,1,32740.27
O0031,Backpack,3,15108.29
O0032,Backpack,1,28161.17
O0032,Bluetooth Speaker,2,39639.33
O0032,Laptop Stand,3,22030.64
O0032,USB-C Cable,4,23916.61
O0033,Desk Lamp,2,9420.93
O0033,Smart Watch,4,28195.1
O0033,Phone Case,2,32714.52
O0033,Laptop Stand,1,47775.4
O0034,USB-C Cable,3,2244.74
O0034,SSD,1,12453.12
O0034,USB Hub,3,22863.87
O0034,Power Bank,1,25900.17
O0035,USB Hub,4,34968.85
O0035,SSD,1,10508.62
O0035,Wireless Mouse,4,19826.46
O0035,Laptop Stand,2,20946.16
O0036,Wireless Mouse,2,43164.68
O0037,USB-C Cable,1,25505.73
O0038,Wireless Mouse,2,39071.94
O0038,Power Bank,2,42090.94
O0039,Bluetooth Speaker,4,34225.27
O0039,Laptop Stand,2,11565.99
O0039,USB Hub,3,46532.15
O0040,Wireless Mouse,2,35634.59
O0040,Power Bank,1,2558.23
O0041,Bluetooth Speaker,1,45956.4
O0042,Wireless Mouse,4,1756.92
O0043,USB-C Cable,1,31082.43
O0044,Laptop Stand,1,42500.88
O0044,Mechanical Keyboard,3,435.12
O0045,Desk Lamp,2,38691.28
O0045,Smart Watch,1,42802.48
O0046,Laptop Stand,3,30249.54
O0046,Backpack,2,49234.55
O0047,Webcam,3,16055.28
O0048,Mechanical Keyboard,2,16017.25
O0048,Phone Case,4,1684.77
O0048,Power Bank,1,17453.64
O0048,Monitor,2,8440.29
O0049,Phone Case,3,35461.94
O0050,SSD,1,29771.76
O0050,Monitor,4,6475.11
O0051,Wireless Mouse,1,398.58
O0051,Headphones,4,1024.67
O0051,Phone Case,3,29314.01
O0051,Mechanical Keyboard,4,6519.12
O0052,Desk Lamp,1,13803.72
O0052,USB Hub,3,2714.88
O0052,Mechanical Keyboard,2,14877.81
O0053,Phone Case,1,29865.55
O0053,Bluetooth Speaker,1,43718.65
O0053,Backpack,1,12831.49
O0054,Headphones,4,36342.33
O0054,Smart Watch,3,28432.5
O0054,USB-C Cable,2,49173.17
O0055,Webcam,4,26106.46
