order_id,customer_id,order_date,status
O0001,C084,2026-01-01,Delivered
O0002,C020,2026-01-01,Cancelled
O0003,C081,2026-01-02,Delivered
O0004,C001,2026-01-03,Delivered
O0005,C080,2026-01-03,Delivered
O0006,C079,2026-01-04,Delivered
O0007,C079,2026-01-05,Delivered
O0008,C067,2026-01-06,Delivered
O0009,C048,2026-01-06,Delivered
O0010,C071,2026-01-07,Delivered
O0011,C028,2026-01-08,Delivered
O0012,C079,2026-01-09,Delivered
O0013,C056,2026-01-09,Delivered
O0014,C046,2026-01-10,Delivered
O0015,C051,2026-01-11,Delivered
O0016,C057,2026-01-12,Delivered
O0017,C004,2026-01-12,Delivered
O0018,C014,2026-01-13,Delivered
O0019,C025,2026-01-14,Cancelled
O0020,C012,2026-01-15,Delivered
O0021,C044,2026-01-15,Delivered
O0022,C067,2026-01-16,Delivered
O0023,C066,2026-01-17,Delivered
O0024,C048,2026-01-18,Cancelled
O0025,C086,2026-01-18,Delivered
O0026,C057,2026-01-19,Cancelled
O0027,C008,2026-01-20,Delivered
O0028,C077,2026-01-20,Delivered
O0029,C058,2026-01-21,Delivered
O0030,C064,2026-01-22,Delivered
O0031,C057,2026-01-23,Delivered
O0032,C056,2026-01-23,Delivered
O0033,C010,2026-01-24,Cancelled
O0034,C056,2026-01-25,Delivered
O0035,C080,2026-01-26,Cancelled
O0036,C031,2026-01-26,Delivered
O0037,C061,2026-01-27,Delivered
O0038,C004,2026-01-28,Delivered
O0039,C035,2026-01-29,Delivered
O0040,C044,2026-01-29,Delivered
O0041,C099,2026-01-30,Delivered
O0042,C022,2026-01-31,Delivered
O0043,C028,2026-02-01,Delivered
O0044,C041,2026-02-01,Delivered
O0045,C100,2026-02-02,Delivered
O0046,C086,2026-02-03,Delivered
O0047,C004,2026-02-04,Delivered
O0048,C024,2026-02-04,Delivered
O0049,C083,2026-02-05,Delivered
O0050,C006,2026-02-06,Delivered
O0051,C086,2026-02-06,Delivered
O0052,C029,2026-02-07,Delivered
O0053,C092,2026-02-08,Delivered
O0054,C030,2026-02-09,Delivered
O0055,C044,2026-02-09,Delivered
O0056,C067,2026-02-10,Delivered
O0057,C013,2026-02-11,Delivered
O0058,C056,2026-02-12,Delivered
O0059,C051,2026-02-12,Delivered
O0060,C079,2026-02-13,Delivered
O0061,C100,2026-02-14,Delivered
O0062,C067,2026-02-15,Delivered
O0063,C041,2026-02-15,Delivered
O0064,C041,2026-02-16,Delivered
O0065,C042,2026-02-17,Cancelled
O0066,C082,2026-02-18,Delivered
O0067,C033,2026-02-18,Delivered
O0068,C017,2026-02-19,Delivered
O0069,C034,2026-02-20,Delivered
O0070,C003,2026-02-21,Delivered
O0071,C011,2026-02-21,Delivered
O0072,C010,2026-02-22,Delivered
O0073,C078,2026-02-23,Delivered
O0074,C073,2026-02-23,Delivered
O0075,C070,2026-02-24,Delivered
O0076,C047,2026-02-25,Delivered
O0077,C072,2026-02-26,Delivered
O0078,C017,2026-02-26,Delivered
O0079,C091,2026-02-27,Delivered
O0080,C051,2026-02-28,Delivered
O0081,C094,2026-03-01,Delivered
O0082,C016,2026-03-01,Delivered
O0083,C050,2026-03-02,Delivered
O0084,C070,2026-03-03,Delivered
O0085,C050,2026-03-04,Delivered
O0086,C045,2026-03-04,Delivered
O0087,C017,2026-03-05,Delivered
O0088,C039,2026-03-06,Delivered
O0089,C024,2026-03-07,Delivered
O0090,C031,2026-03-07,Delivered
O0091,C069,2026-03-08,Delivered
O0092,C064,2026-03-09,Delivered
O0093,C061,2026-03-10,Cancelled
O0094,C037,2026-03-10,Delivered
O0095,C096,2026-03-11,Delivered
O0096,C009,2026-03-12,Cancelled
O0097,C035,2026-03-12,Cancelled
O0098,C012,2026-03-13,Delivered
O0099,C034,2026-03-14,Delivered
O0100,C097,2026-03-15,Delivered
O0101,C037,2026-03-15,Delivered
O0102,C091,2026-03-16,Delivered
O0103,C050,2026-03-17,Delivered
O0104,C070,2026-03-18,Delivered
O0105,C046,2026-03-18,Delivered
O0106,C027,2026-03-19,Delivered
O0107,C077,2026-03-20,Delivered
O0108,C097,2026-03-21,Delivered
O0109,C027,2026-03-21,Delivered
O0110,C078,2026-03-22,Delivered
O0111,C027,2026-03-23,Delivered
O0112,C072,2026-03-24,Delivered
O0113,C079,2026-03-24,Delivered
O0114,C045,2026-03-25,Delivered
O0115,C074,2026-03-26,Delivered
O0116,C028,2026-03-27,Delivered
O0117,C008,2026-03-27,Delivered
O0118,C010,2026-03-28,Delivered
O0119,C045,2026-03-29,Delivered
O0120,C091,2026-03-29,Cancelled
O0121,C013,2026-03-30,Cancelled
O0122,C046,2026-03-31,Delivered
O0123,C071,2026-04-01,Delivered
O0124,C021,2026-04-01,Delivered
O0125,C073,2026-04-02,Delivered
O0126,C031,2026-04-03,Delivered
O0127,C081,2026-04-04,Delivered
O0128,C058,2026-04-04,Delivered
O0129,C055,2026-04-05,Delivered
O0130,C018,2026-04-06,Delivered
O0131,C047,2026-04-07,Delivered
O0132,C086,2026-04-07,Delivered
O0133,C002,2026-04-08,Delivered
O0134,C076,2026-04-09,Delivered
O0135,C050,2026-04-10,Delivered
O0136,C072,2026-04-10,Delivered
O0137,C067,2026-04-11,Delivered
O0138,C044,2026-04-12,Delivered
O0139,C031,2026-04-13,Delivered
O0140,C063,2026-04-13,Cancelled
O0141,C015,2026-04-14,Delivered
O0142,C059,2026-04-15,Cancelled
O0143,C010,2026-04-15,Delivered
O0144,C065,2026-04-16,Delivered
O0145,C063,2026-04-17,Delivered
O0146,C009,2026-04-18,Delivered
O0147,C076,2026-04-18,Cancelled
O0148,C042,2026-04-19,Delivered
O0149,C079,2026-04-20,Delivered
O0150,C005,2026-04-21,Delivered
O0151,C018,2026-04-21,Delivered
O0152,C050,2026-04-22,Delivered
O0153,C019,2026-04-23,Delivered
O0154,C033,2026-04-24,Delivered
O0155,C067,2026-04-24,Delivered
O0156,C015,2026-04-25,Delivered
O0157,C068,2026-04-26,Delivered
O0158,C011,2026-04-27,Delivered
O0159,C018,2026-04-27,Delivered
O0160,C059,2026-04-28,Delivered
O0161,C080,2026-04-29,Cancelled
O0162,C018,2026-04-30,Delivered
O0163,C030,2026-04-30,Delivered
O0164,C093,2026-05-01,Delivered
O0165,C099,2026-05-02,Delivered
O0166,C059,2026-05-02,Delivered
O0167,C045,2026-05-03,Delivered
O0168,C035,2026-05-04,Delivered
O0169,C062,2026-05-05,Delivered
O0170,C060,2026-05-05,Delivered
O0171,C030,2026-05-06,Delivered
O0172,C003,2026-05-07,Delivered
O0173,C016,2026-05-08,Delivered
O0174,C096,2026-05-08,Delivered
